id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
33427,Aon Teanga,http://aonteanga.co.uk/,Aon Teanga,Q108856925,https://www.wikidata.org/wiki/Q108856925,website,14/12/2015,False,Music,MUSIC : TRADITIONAL / FOLK,,Site for a community appreciating Gaelic languages.,,
40891,Thornlie Boys,http://www.thornlieboys.co.uk/,Thornlie Boys,,,website,13/05/2016,False,Music,MUSIC,,"Site of a Scottish musical duo whose songs focus on Glasgow Rangers Football Club, Loyalism in a UK and Northern Irish context, and the Orange Order.",,
40892,Thurso Pipe Band,http://www.thursopipeband.co.uk/,Thurso Pipe Band,,,website,13/05/2016,False,Music,MUSIC : PIPING,,"Site of a Scottish traditional pipes and drums band based in Thurso, Caithness, Scotland.","Caithness, Thurso",
40896,Edinburgh Mandolin and Guitar Orchestra,http://www.emgo.org.uk/,Edinburgh Mandolin & Guitar Orchestra,,,website,13/05/2016,False,Music,MUSIC : ORCHESTRAS,,"Site of an orchestra based in Edinburgh, concentrating on music for mandolins and guitars.","Edinburgh",
40900,Scots Moothie,http://www.geocurrent.org.uk/moothie/,Scots Mouthie,,,website,13/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,Site dedicated to the furtherance of traditional mouth-organ and harmonica based music in Scotland.,,
40908,Bearsden Choir,http://www.bearsdenchoir.co.uk/,Bearsden Choir,Q16822831,https://www.wikidata.org/wiki/Q16822831,website,13/05/2016,False,Music,MUSIC : CHOIRS,,Site of a choir based in Bearsden East Dunbartonshire and concentrating on classical music.,,
41008,Bishopton Folk Night,http://www.bishoptonfolk.com/,Bishopton Folk Nights,,,website,16/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a hyper local folk event based in Bishopton Renfrewshire, staging regular Scottish traditional music events in local venues.",,
41013,Music Scotland,http://www.musicscotland.com/,Music Scotland,,,website,16/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a recorded music retailer located in Oban, Argyll & Bute, specialising in Scottish, Celtic, international traditional music.","Oban",
41118,Kirriemuir Festival of Music and Song,http://www.kirriefestival.org/,Kirriemuir Festival of Music and Song,,,website,17/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an annual Scottish tradtional music festival based in Kirriemuir, Angus Scotland","Kirriemuir, Angus",
41196,Springthyme Records,http://www.springthyme.co.uk/,Springthyme Records / Springthyme Music,,,website,18/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,Site of a music production and sales company specialising in traditional Scottish music.,,
41248,Girvan Folk Festival,http://www.girvanfolkfestival.co.uk/,Girvan Folk Festival,,,website,19/05/2016,False,Music,FESTIVAL,,"Site of an annual tradtional festival of music, storytelling and verse located in Girvan South Ayrshire.",,
41554,Loanhead Music Festival,http://www.loanheadfest.co.uk/,Loanhead Music Festival,,,website,24/05/2016,False,Music,FESTIVAL,,"Site of an annual Scottish traditional music festival taking place in Loanhead, Midlothian, Scotland.","Loanhead, Midlothian",
42826,Edinburgh Jazz and Blues Festival,http://www.edinburghjazzfestival.com/,Edinburgh Jazz & Blues Festival,,,website,13/06/2016,False,Music,FESTIVAL,,"Site of an annual jazz and blues music festival located in Edinburgh, Scotland.","Edinburgh",
44377,Dunfermline Folk Club,http://www.dunfermlinefolkclub.co.uk/,Dunfermline Folk Club,,,website,18/07/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditional music club based in Dunfermline, Fife, Scotland.",,
44381,Newtongrange Folk Club,http://www.nittenfolk.co.uk/,Nitten Folk Club,,,website,18/07/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"A traditional music club based on Newtongrange, Midlothian, Scotland","Newtongrange, Midlothian",
46884,Mark Spalding,http://www.markspaldingmusician.co.uk/,Mark Spalding,,,website,09/11/2016,False,Music,MUSIC,,Site of a musician based in the North East of Scotland,,
48258,Jesus and Mary Chain,http://thejesusandmarychain.uk.com/,The Jesus and Mary Chain,Q1126301,https://www.wikidata.org/wiki/Q1126301,website,13/01/2017,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site for a Scottish rock music group.,,
48461,Tuff Love,http://reallytufflove.com/,Tuff Love,,,website,18/01/2017,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Glasgow based pop / rock music group.,,
49675,Kirkcaldy Amateur Operatic Society,http://www.visitkaos.co.uk/,Kirkcaldy Amateur Operatic Society,,,website,22/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre company based in Kirkcaldy, Fife.","Kirkcaldy",
49676,Cupar Amateur Musical Society,http://cuparams.sharepoint.com/,Cupar Amateur Musical Society,,,website,22/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre society based in Cupar, Fife.","Cupar",
49695,Youth Music Theatre Scotland,https://youthmusictheatrescotland.wordpress.com/,Youth Music Theatre Scotland,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"WordPress site for a Scottish charitable organisation dedicated to the development of children and young people, and those who help them learn, through creative learning opportunities in musical theatre; the company is artistically led, offering opportunities to participate in, generate, and engage with, all forms of theatre and film involving music.",,
49698,St. Andrews Musical Society,http://www.standrewsms.co.uk/,St. Andrews Musical Society,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre and operatic society based in St. Andrews, Fife.","St. Andrews",
49700,Leven Amateur Musical Association.,http://www.levenmusical.org.uk/,Leven Amateur Musical Association,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre association based in Leven, Fife.","Leven",
49702,Rosyth and District Musical Society,http://www.rdmsfife.org/,Rosyth and District Musical Society,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of a amateur musical theatre society based in Rosyth, Fife.","Rosyth",
49785,Lochgelly Brass Band,http://www.lochgellyband.com/,Lochgelly Band,,,website,27/02/2017,False,Music,MUSIC : BRASS BAND,,"Site of an amateur brass ban based in Lochgelly, Fife.",,
49790,LAMA Youth,http://www.lamayouth.org.uk/,Leven Amateur Musical Association,,,website,28/02/2017,False,Music,MUSIC,,"Site of the young people's branch of an amateur musical theatre company based in Leven, Fife.","Leven",
52819,Glasgow Caledonian Strathspey & Reel Society,http://www.callyfiddleorchestra.co.uk/,Glasgow Caledonian Fiddle Orchestra,,,website,05/05/2017,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an orchestra playing traditional Scottish reels, jigs, strathspeys, waltzes, polkas, two-steps, slow airs and folk tunes and based in Glasgow - formerly known as Glasgow Caledonian Strathspey & Reel Society.",,
54257,Yellae Deuks,http://www.yellaedeuks.org/,Yellae Deuks,,,website,05/06/2017,False,Music,MUSIC,,"Site of an annual music festival located in Anstruther, Fife, Scotland, featuring local acts of Scottish, national repute.",,
54258,Triassic Tusk,http://triassictusk.com/,Triassic Tisk Records,,,website,05/06/2017,False,Music,MUSIC,,"Site of a record label based in Fife, Scotland.","Fife",
54279,Oates Field,http://www.theoatesfield.com/,Oates Field,,,website,05/06/2017,False,Music,MUSIC,,Site of a music group based in Edinburgh.,"Edinburgh",
